Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Jan,0.200,0.170,0.100,0.106,0.050,0.050,0.050,0.100,0.040,0.060,0.080,0.080,0.080,0.080,0.080,0.080,0.080
Feb,0.150,0.120,0.100,0.099,0.050,0.050,0.050,0.100,0.040,0.060,0.020,0.020,0.050,0.080,0.050,0.050,0.050
Mar,0.180,0.120,0.020,0.241,0.100,0.060,0.060,0.120,0.060,0.080,0.020,0.020,0.120,0.120,0.087,0.120,0.120
Apr,0.090,0.090,0.020,0.133,0.090,0.060,0.060,0.120,0.050,0.080,0.070,0.070,0.150,0.130,0.117,0.150,0.150
May,0.050,0.050,0.020,0.076,0.110,0.100,0.100,0.080,0.070,0.080,0.060,0.060,0.120,0.130,0.103,0.120,0.120
Jun,0.020,0.020,0.070,0.038,0.080,0.120,0.120,0.080,0.090,0.080,0.060,0.060,0.050,0.100,0.070,0.050,0.050
Jul,0.010,0.010,0.080,0.020,0.120,0.130,0.130,0.060,0.110,0.100,0.100,0.100,0.050,0.120,0.090,0.050,0.050
Aug,0.010,0.010,0.070,0.020,0.100,0.120,0.120,0.060,0.140,0.100,0.120,0.120,0.050,0.120,0.097,0.050,0.050
Sep,0.030,0.010,0.150,0.020,0.090,0.100,0.100,0.050,0.150,0.100,0.100,0.100,0.050,0.020,0.057,0.050,0.050
Oct,0.030,0.020,0.150,0.020,0.090,0.100,0.100,0.050,0.110,0.100,0.120,0.120,0.050,0.010,0.060,0.050,0.050
Nov,0.040,0.190,0.140,0.076,0.070,0.060,0.060,0.080,0.090,0.080,0.150,0.150,0.120,0.010,0.093,0.120,0.120
Dec,0.190,0.190,0.090,0.150,0.050,0.050,0.050,0.100,0.050,0.080,0.100,0.100,0.110,0.080,0.097,0.110,0.110